last_name,count
Baba,226
Coorg,223
Gelosh,223
Farris,222
Sudbeck,222
Adachi,221
Osgood,220
Mandell,218
Neiman,218
Masada,218
Boudaillier,217
Wendorf,217
Pettis,216
Cummings,216
Mahnke,216
Solares,216
Collette,215
Kulisch,215
Birjandi,215
Emmart,215
Maksimenko,215
Pokrovskii,214
Scallan,214
Rosaz,214
Boguraev,214
Stifter,213
Siksek,213
Wolniewicz,213
Morrey,213
Pramanik,212
Taubman,212
Peek,212
Swen,212
Herber,212
Garrabrants,212
Rabehasaina,212
Rajcani,212
Siepmann,212
Gente,211
Ghemri,211
Kamber,211
Barriga,211
Kitsuregawa,211
Ventosa,211
Asser,211
Cangellaris,211
Schaaf,210
Redmiles,210
Bolsens,210
Luce,210
Driscoll,210
Lamparter,209
Serra,209
Zuberek,209
Flowers,209
Malabarba,209
Lunt,209
Gerlach,209
Khasidashvili,209
Gewali,209
Chenney,209
Panienski,208
Aloia,208
Gecsei,208
Lowrie,208
Cesareni,208
Jenevein,208
Garnier,207
Lamba,207
Akazan,207
Angelopoulos,207
Bondorf,206
Duclos,206
Chimia,206
Braunmuhl,206
Foote,206
Hebert,206
Perng,206
Gaughan,206
DeMori,205
Marakhovsky,205
Geffroy,205
Shimshoni,205
Emden,205
Ecklund,205
Onuegbe,205
Panangaden,205
Encarnacion,205
Matzov,205
Ponthieu,205
Garnham,205
Bennet,205
Lanphier,205
Aamodt,205
Siprelle,205
Alpin,204
Shiratori,204
Riexinger,204
Linares,204
Shrader,204
Coors,204
Luders,204
Malinowski,204
Argence,204
Whitcomb,204
Desikan,204
Legleitner,204
Swick,204
Herbst,203
Ghandeharizadeh,203
Kirkerud,203
Ishibashi,203
Doering,203
Champarnaud,203
Tetzlaff,203
Conta,203
Feinberg,203
Lorho,203
Ramsay,203
Tramer,203
Penttonen,203
Pews,202
Kilgour,202
Kornyak,202
Soicher,202
Thummel,202
Gihr,202
Schapire,202
Lubachevsky,202
Yurek,202
Biran,202
Schlegelmilch,202
Karnin,202
Rusterholz,201
Krybus,201
Mukaidono,201
Kavanagh,201
Wynblatt,201
